"header","col"
"abc_ldr",
"abc_ldr_5_32_1",
"abc_ldrp",
"abc_ldrp_5_33_1",
"abc_op_prog",
"abc_op_prog_5_31_1",
"amb_surg_prog",
"amb_surg_prog_5_15_1",
"atherectomy_ptcra",
"atherectomy_ptcra_5_74_1",
"atherectomy_ptcra_ablation",
"atherectomy_ptcra_ablation_5_74_1",
"births_live_3lbs_5oz",
"births_live_3lbs_5oz_5_22_1",
"births_live_5lbs_8oz",
"births_live_5lbs_8oz_5_21_1",
"births_live_abc",
"births_live_abc_5_36_1",
"births_live_c_sec",
"births_live_c_sec_5_37_1",
"births_live_totl",
"births_live_totl_5_20_1",
"cap_exp_over_1mil",
"cap_exp_over_1mil_6_25_1",
"cardiac_cath_dx_proc",
"cardiac_cath_dx_proc_5_65_1",
"cardiac_cath_proc",
"cardiac_cath_proc_5_65_1",
"carotid_stenting",
"carotid_stenting_5_81_1",
"cath_card_rm",
"cath_card_rm_5_55_1",
"cath_dx_vis_totl",
"cath_dx_vis_totl_5_60_1",
"cath_ip_adlt_dx_vis",
"cath_ip_adlt_dx_vis_5_58_1",
"cath_ip_adlt_ther_vis",
"cath_ip_adlt_ther_vis_5_58_2",
"cath_ip_ped_dx_vis",
"cath_ip_ped_dx_vis_5_56_1",
"cath_ip_ped_ther_vis",
"cath_ip_ped_ther_vis_5_56_2",
"cath_op_adlt_dx_vis",
"cath_op_adlt_dx_vis_5_59_1",
"cath_op_adlt_ther_vis",
"cath_op_adlt_ther_vis_5_59_2",
"cath_op_ped_dx_vis",
"cath_op_ped_dx_vis_5_57_1",
"cath_op_ped_ther_vis",
"cath_op_ped_ther_vis_5_57_2",
"cath_othr",
"cath_othr_5_84_1",
"cath_ther_vis_totl",
"cath_ther_vis_totl_5_60_2",
"cath_totl",
"cath_totl_5_85_1",
"catheter_ablation",
"catheter_ablation_5_78_1",
"catheter_based_ventricular_ins",
"catheter_based_ventricular_ins_5_83_1",
"cvsurg_cabg_totl",
"cvsurg_cabg_totl_5_50_1",
"cvsurg_lic_op_rm",
"cvsurg_lic_op_rm_5_42_1",
"cvsurg_with_ecbpass_adlt",
"cvsurg_with_ecbpass_adlt_5_44_1",
"cvsurg_with_ecbpass_ped",
"cvsurg_with_ecbpass_ped_5_43_1",
"cvsurg_with_ecbpass_totl",
"cvsurg_with_ecbpass_totl_5_45_1",
"cvsurg_without_ecbpass_adlt",
"cvsurg_without_ecbpass_adlt_5_44_2",
"cvsurg_without_ecbpass_ped",
"cvsurg_without_ecbpass_ped_5_43_2",
"cvsurg_without_ecbpass_totl",
"cvsurg_without_ecbpass_totl_5_45_2",
"diagnostic_electrophysiology_ep",
"diagnostic_electrophysiology_ep_5_77_1",
"dx_ep_study",
"dx_ep_study_5_77_1",
"equip_01_acqui_dt",
"equip_01_acqui_dt_6_2_3",
"equip_01_acqui_means",
"equip_01_acqui_means_6_2_4",
"equip_01_descrip",
"equip_01_descrip_6_2_1",
"equip_01_value",
"equip_01_value_6_2_2",
"equip_02_acqui_dt",
"equip_02_acqui_dt_6_3_3",
"equip_02_acqui_means",
"equip_02_acqui_means_6_3_4",
"equip_02_descrip",
"equip_02_descrip_6_3_1",
"equip_02_value",
"equip_02_value_6_3_2",
"equip_03_acqui_dt",
"equip_03_acqui_dt_6_4_3",
"equip_03_acqui_means",
"equip_03_acqui_means_6_4_4",
"equip_03_descrip",
"equip_03_descrip_6_4_1",
"equip_03_value",
"equip_03_value_6_4_2",
"equip_04_acqui_dt",
"equip_04_acqui_dt_6_5_3",
"equip_04_acqui_means",
"equip_04_acqui_means_6_5_4",
"equip_04_descrip",
"equip_04_descrip_6_5_1",
"equip_04_value",
"equip_04_value_6_5_2",
"equip_05_acqui_dt",
"equip_05_acqui_dt_6_6_3",
"equip_05_acqui_means",
"equip_05_acqui_means_6_6_4",
"equip_05_descrip",
"equip_05_descrip_6_6_1",
"equip_05_value",
"equip_05_value_6_6_2",
"equip_06_acqui_dt",
"equip_06_acqui_dt_6_7_3",
"equip_06_acqui_means",
"equip_06_acqui_means_6_7_4",
"equip_06_descrip",
"equip_06_descrip_6_7_1",
"equip_06_value",
"equip_06_value_6_7_2",
"equip_07_acqui_dt",
"equip_07_acqui_dt_6_8_3",
"equip_07_acqui_means",
"equip_07_acqui_means_6_8_4",
"equip_07_descrip",
"equip_07_descrip_6_8_1",
"equip_07_value",
"equip_07_value_6_8_2",
"equip_08_acqui_dt",
"equip_08_acqui_dt_6_9_3",
"equip_08_acqui_means",
"equip_08_acqui_means_6_9_4",
"equip_08_descrip",
"equip_08_descrip_6_9_1",
"equip_08_value",
"equip_08_value_6_9_2",
"equip_09_acqui_dt",
"equip_09_acqui_dt_6_10_3",
"equip_09_acqui_means",
"equip_09_acqui_means_6_10_4",
"equip_09_descrip",
"equip_09_descrip_6_10_1",
"equip_09_value",
"equip_09_value_6_10_2",
"equip_10_acqui_dt",
"equip_10_acqui_dt_6_11_3",
"equip_10_acqui_means",
"equip_10_acqui_means_6_11_4",
"equip_10_descrip",
"equip_10_descrip_6_11_1",
"equip_10_value",
"equip_10_value_6_11_2",
"equip_acq_over_500k",
"equip_acq_over_500k_6_1_1",
"fac_name",
"fac_name_1_1_1",
"icd_implantation",
"icd_implantation_5_712_1",
"implantable_cardio_defib_implantation",
"implantable_cardio_defib_implantation_5_712_1",
"intra_aortic_balloon_pump_ins",
"intra_aortic_balloon_pump_ins_5_82_1",
"licensure_cvsurg_svcs",
"licensure_cvsurg_svcs_5_41_1",
"myocardial_biopsy",
"myocardial_biopsy_5_66_1",
"op_rm_ip_and_op",
"op_rm_ip_and_op_5_9_1",
"op_rm_ip_only",
"op_rm_ip_only_5_7_1",
"op_rm_min_ip",
"op_rm_min_ip_5_1_2",
"op_rm_min_op",
"op_rm_min_op_5_2_2",
"op_rm_op_only",
"op_rm_op_only_5_8_1",
"op_rm_totl",
"op_rm_totl_5_10_1",
"oshpd_id",
"oshpd_id_1_2_1","oshpd_id"
"oth_icd_procedures",
"oth_icd_procedures_5_713_1",
"oth_perm_pacemaker_proc",
"oth_perm_pacemaker_proc_5_711_1",
"oth_procedures",
"oth_procedures_5_713_1",
"othr_cath_proc",
"othr_cath_proc_5_84_1",
"pacemkr_perm_impl",
"pacemkr_perm_impl_5_71_1",
"pci_angioplasty_with_stent",
"pci_angioplasty_with_stent_5_72_1",
"pci_angioplasty_without_stent",
"pci_angioplasty_without_stent_5_73_1",
"pci_with_stent",
"pci_with_stent_5_72_1",
"pci_without_stent",
"pci_without_stent_5_73_1",
"peripheral_vascular_angiography",
"peripheral_vascular_angiography_5_79_1",
"peripheral_vascular_interventional",
"peripheral_vascular_interventional_5_80_1",
"proj_01_descrip_cap_exp",
"proj_01_descrip_cap_exp_6_26_1",
"proj_01_oshpd_proj_no",
"proj_01_oshpd_proj_no_6_26_3",
"proj_01_projtd_cap_exp",
"proj_01_projtd_cap_exp_6_26_2",
"proj_02_descrip_cap_exp",
"proj_02_descrip_cap_exp_6_27_1",
"proj_02_oshpd_proj_no",
"proj_02_oshpd_proj_no_6_27_3",
"proj_02_projtd_cap_exp",
"proj_02_projtd_cap_exp_6_27_2",
"proj_03_descrip_cap_exp",
"proj_03_descrip_cap_exp_6_28_1",
"proj_03_oshpd_proj_no",
"proj_03_oshpd_proj_no_6_28_3",
"proj_03_projtd_cap_exp",
"proj_03_projtd_cap_exp_6_28_2",
"proj_04_descrip_cap_exp",
"proj_04_descrip_cap_exp_6_29_1",
"proj_04_oshpd_proj_no",
"proj_04_oshpd_proj_no_6_29_3",
"proj_04_projtd_cap_exp",
"proj_04_projtd_cap_exp_6_29_2",
"proj_05_descrip_cap_exp",
"proj_05_descrip_cap_exp_6_30_1",
"proj_05_oshpd_proj_no",
"proj_05_oshpd_proj_no_6_30_3",
"proj_05_projtd_cap_exp",
"proj_05_projtd_cap_exp_6_30_2",
"ptbv",
"ptbv_5_76_1",
"ptbv_balloon",
"ptbv_balloon_5_76_1",
"ptca_angioplasty_with_stent",
"ptca_angioplasty_with_stent_5_72_1",
"ptca_angioplasty_without_stent",
"ptca_angioplasty_without_stent_5_73_1",
"surg_ip",
"surg_ip_5_1_1",
"surg_op",
"surg_op_5_2_1",
"thrombo_agt",
"thrombo_agt_5_75_1",
